subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
09TI,55,real,M1_AP,onset,n45,40.0,55.0,1,16,41.0,-7.070515426397324,Cz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n45,40.0,55.0,2,42,40.80000000000001,-6.205524519681931,C1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n45,40.0,55.0,3,48,41.80000000000001,-6.1783886456489565,FCz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p60,55.0,70.0,1,20,67.19999999999999,7.565237431824207,O2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p60,55.0,70.0,2,21,68.0,7.480750228241086,Oz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,p60,55.0,70.0,3,55,67.19999999999999,7.211505108475685,PO4,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n100,80.0,120.0,1,17,81.80000000000001,-5.13673476934433,FC2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n100,80.0,120.0,2,48,86.39999999999998,-4.887564635947347,FCz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,onset,n100,80.0,120.0,3,58,80.60000000000002,-4.404796900749207,FC4,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n20,10.0,25.0,1,11,15.600000000000023,-10.685502415895462,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n20,10.0,25.0,2,40,10.199999999999989,-10.071428795456887,PO3,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n20,10.0,25.0,3,41,15.800000000000011,-9.679158038794995,PO7,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p30,20.0,40.0,1,11,28.600000000000023,5.596937048435211,O1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p30,20.0,40.0,2,31,38.0,5.4616241982579234,TP10,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p30,20.0,40.0,3,47,38.39999999999998,5.3134776708483695,Fpz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n45,40.0,55.0,1,10,40.19999999999999,-5.580565857887268,CP1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n45,40.0,55.0,2,16,42.80000000000001,-5.132731966674328,Cz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n45,40.0,55.0,3,42,41.60000000000002,-4.945968085080385,C1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p60,55.0,70.0,1,23,65.60000000000002,4.3580880024284125,P4,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p60,55.0,70.0,2,56,69.0,4.308508563786745,P6,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,p60,55.0,70.0,3,54,67.39999999999998,4.288899491131306,PO8,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n100,80.0,120.0,1,17,84.19999999999999,-4.789366815984249,FC2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n100,80.0,120.0,2,49,81.19999999999999,-4.4309963285923,F2,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,after,n100,80.0,120.0,3,48,81.60000000000002,-4.403461508750915,FCz,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,PPC_L,rest,n20,10.0,25.0,1,62,15.399999999999977,-4.544731341600418,FT8,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,n20,10.0,25.0,2,59,17.0,-4.436431509256363,C6,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,n20,10.0,25.0,3,28,17.19999999999999,-4.140091491937637,CP6,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,p30,20.0,40.0,1,36,38.19999999999999,4.584817008972168,C5,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
09TI,55,real,PPC_L,rest,p30,20.0,40.0,2,3,38.39999999999998,4.418583924174309,CP5,session_55__set_9__cleaned_SOUND.mat,08_09TI_PPC_L_40MSO_real.hdf5
